longitude,latitude,median_income
-122.23,37.88,8.3252
-122.22,37.86,8.3014
-122.24,37.85,7.2574
-122.25,37.85,5.6431
-122.25,37.85,3.8462
-122.25,37.85,4.0368
-122.25,37.84,3.6591
-122.25,37.84,3.12
-122.26,37.84,2.0804
-122.25,37.84,3.6912
-122.26,37.85,3.2031
-122.26,37.85,3.2705
-122.26,37.85,3.075
-122.26,37.84,2.6736
-122.26,37.85,1.9167
-122.26,37.85,2.125
-122.27,37.85,2.775
-122.27,37.85,2.1202
-122.26,37.84,1.9911
-122.27,37.84,2.6033
-122.27,37.85,1.3578
-122.27,37.85,1.7135
-122.27,37.84,1.725
-122.27,37.84,2.1806
-122.27,37.84,2.6
-122.28,37.85,2.4038
-122.28,37.85,2.4597
-122.28,37.85,1.808
-122.28,37.84,1.6424
-122.28,37.84,1.6875
-122.28,37.84,1.9274
-122.28,37.84,1.9615
-122.27,37.84,1.7969
-122.27,37.83,1.375
-122.27,37.83,2.7303
-122.27,37.83,1.4861
-122.27,37.83,1.0972
-122.28,37.83,1.4103
-122.26,37.83,3.48
-122.26,37.83,2.5898
-122.26,37.83,2.0978
-122.26,37.83,1.2852
-122.26,37.84,1.025
-122.26,37.84,3.9643
-122.26,37.83,3.0125
-122.26,37.83,2.6768
-122.26,37.83,2.026
-122.27,37.82,1.7348
-122.26,37.82,0.9506
-122.27,37.82,1.775
-122.27,37.82,0.9218
-122.27,37.82,1.5045
-122.27,37.82,1.1108
-122.27,37.82,1.2475
-122.28,37.82,1.6098
-122.28,37.82,1.4113
-122.28,37.82,1.5057
-122.28,37.82,0.8172
-122.28,37.82,1.2171
-122.29,37.82,2.5625
-122.29,37.83,3.3929
-122.29,37.82,6.1183
-122.29,37.81,0.9011
-122.3,37.81,1.191
-122.3,37.81,2.5938
-122.3,37.81,1.1667
-122.3,37.81,0.8056
-122.29,37.8,2.6094
-122.3,37.81,1.8516
-122.29,37.81,0.9802
-122.29,37.81,1.7719
-122.29,37.81,0.7286
-122.29,37.81,1.75
-122.29,37.81,0.4999
-122.29,37.81,2.483
-122.28,37.81,0.9241
-122.28,37.81,2.4464
-122.28,37.81,1.1111
-122.29,37.81,0.8026
-122.28,37.8,2.0114
-122.28,37.81,1.5
-122.27,37.81,1.1667
-122.28,37.81,1.5208
-122.28,37.81,0.8075
-122.28,37.81,1.8088
-122.28,37.81,2.4083
-122.27,37.81,0.977
-122.27,37.81,0.76
-122.27,37.8,0.9722
-122.27,37.8,1.2434
-122.27,37.8,2.0938
-122.28,37.8,0.8668
-122.28,37.8,0.75
-122.27,37.79,2.6354
-122.27,37.8,1.8477
-122.26,37.8,2.0096
-122.26,37.82,2.8345
-122.26,37.81,2.0062
-122.26,37.82,1.2185
-122.26,37.82,2.6104
-122.25,37.81,2.4912
-122.25,37.81,3.2177
-122.25,37.81,3.125
-122.25,37.81,2.5795
-122.26,37.81,2.8406
-122.24,37.82,4.9306
-122.24,37.81,3.2727
-122.25,37.81,3.1691
-122.24,37.82,3.9
-122.25,37.82,3.9063
-122.25,37.82,5.0917
-122.25,37.82,2.6429
-122.25,37.82,3.0233
-122.25,37.83,3.1484
-122.25,37.83,3.4722
-122.25,37.83,3.1429
-122.25,37.83,2.4234
-122.25,37.83,3.0897
-122.23,37.84,5.8596
-122.23,37.84,5.2868
-122.24,37.83,5.956
-122.24,37.85,4.9643
-122.23,37.85,6.3434
-122.24,37.84,5.1773
-122.24,37.85,7.2354
-122.22,37.85,5.457
-122.22,37.84,7.5
-122.21,37.84,6.0194
-122.21,37.83,7.5544
-122.2,37.84,6.0666
-122.21,37.84,7.0548
-122.19,37.84,11.6017
-122.2,37.84,7.4882
-122.21,37.83,6.8976
-122.19,37.83,8.2049
-122.2,37.83,8.401
-122.19,37.83,6.8538
-122.19,37.82,8.317
-122.2,37.82,7.0175
-122.2,37.82,6.3302
-122.18,37.81,6.3624
-122.21,37.82,7.0549
-122.2,37.81,6.7851
-122.21,37.8,2.8929
-122.21,37.8,3.0812
-122.21,37.81,5.2402
-122.22,37.81,6.5217
-122.22,37.8,3.2632
-122.22,37.8,3.0298
-122.22,37.8,4.5428
-122.22,37.81,4.072
-122.22,37.81,5.3509
-122.23,37.8,3.1603
-122.23,37.81,4.7708
-122.22,37.81,8.1564
-122.23,37.81,8.8793
-122.24,37.81,6.8591
-122.24,37.81,6.0302
-122.23,37.81,7.508
-122.24,37.81,2.7477
-122.24,37.8,2.1944
-122.25,37.8,3.0149
-122.24,37.81,3.675
-122.25,37.81,3.225
-122.25,37.8,2.9345
-122.25,37.8,2.1429
-122.25,37.8,1.6121
-122.25,37.8,1.3929
-122.24,37.79,2.3173
